,Title
0,Citizen Kane
1,The Godfather
2,Rear Window
3,Casablanca
4,Boyhood
5,Three Colors: Red
6,Vertigo
7,Notorious
8,Singin' in the Rain
9,Moonlight
10,Pinocchio
11,Touch of Evil
12,The Treasure of the Sierra Madre
13,Pan's Labyrinth
14,North by Northwest
15,All About Eve
16,Hoop Dreams
17,My Left Foot
18,The Third Man
19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
20,Gone with the Wind
21,"4 Months, 3 Weeks and 2 Days"
22,Some Like It Hot
23,Psycho
24,American Graffiti
25,Dumbo
26,Roma
27,Ran
28,12 Angry Men
29,Manchester by the Sea
30,Rosemary's Baby
31,The Maltese Falcon
32,12 Years a Slave
33,Nashville
34,Ratatouille
35,A Streetcar Named Desire
36,The Grapes of Wrath
37,Mean Streets
38,Gravity
39,Fantasia
40,Spirited Away
41,The Wild Bunch
42,Beauty and the Beast
43,Carol
44,Toy Story
45,The Social Network
46,My Fair Lady
47,I Am Not Your Negro
48,Double Indemnity
49,Killer of Sheep
50,Snow White and the Seven Dwarfs
51,Anatomy of a Murder
52,Zero Dark Thirty
53,Portrait of a Lady on Fire
54,A Separation
55,WALL-E
56,Before Midnight
57,Dunkirk
58,The Man Who Shot Liberty Valance
59,The Searchers
60,45 Years
61,Taxi Driver
62,The Manchurian Candidate
63,Pulp Fiction
64,Mr. Turner
65,The Hurt Locker
66,The Wild Child
67,Amazing Grace
68,Shadow of a Doubt
69,Inside Out
70,Sideways
71,The Apartment
72,Apocalypse Now
73,The Gunfighter
74,We Were Here
75,Lady Bird
76,The Lord of the Rings: The Return of the King
77,Carlos
78,Faces Places
79,Amour
80,The Servant
81,The Magnificent Ambersons
82,Reversal of Fortune
83,Shoplifters
84,Shoah: Four Sisters
85,"Crouching Tiger, Hidden Dragon"
86,Duck Soup
87,Toni Erdmann
88,Yi Yi
89,Spotlight
90,La La Land
91,Stagecoach
92,Call Me by Your Name
93,Inside Llewyn Davis
94,Schindler's List
95,Sherpa
96,There Will Be Blood
97,Badlands
98,The Last Picture Show
99,Sita Sings the Blues
100,The Decline of Western Civilization
101,Days of Heaven
102,Crumb
103,The Band Wagon
104,One More Time with Feeling
105,The Diving Bell and the Butterfly
106,Invasion of the Body Snatchers
107,The Class
108,Platoon
109,35 Shots of Rum
110,Brother's Keeper
111,Chinatown
112,The Florida Project
113,Timbuktu
114,The Souvenir
115,Maborosi
116,Apocalypse Now Redux
117,Annie Hall
118,The Lord of the Rings: The Fellowship of the Ring
119,Intolerance
120,Leviathan
121,The Best Years of Our Lives
122,Werckmeister Harmonies
123,Toy Story 3
124,This Is Spinal Tap
125,The Look of Silence
126,Tower
127,The Rider
128,Moolaadé
129,Atanarjuat: The Fast Runner
130,The Lighthouse
131,Gavagai
132,The Man Who Would Be King
133,Breaking Away
134,After Life
135,Cool Hand Luke
136,The African Queen
137,The Triplets of Belleville
138,The Queen
139,All Quiet on the Western Front
140,A Bread Factory Part Two: Walk With Me a While
141,The Ladykillers
142,Young Mr. Lincoln
143,Stories We Tell
144,A Bread Factory Part One: For the Sake of Gold
145,On the Waterfront
146,Son of Saul
147,Jafar Panahi's Taxi
148,Beau Travail
149,Do the Right Thing
150,Waltz with Bashir
151,They Shall Not Grow Old
152,EX LIBRIS: The New York Public Library
153,Secrets & Lies
154,Patton
155,The Right Stuff
156,Bambi
157,Frankenstein
158,Bringing Up Baby
159,No Country for Old Men
160,The Gatekeepers
161,Nostalgia for the Light
162,Ida
163,Saving Private Ryan
164,After Hours
165,The Favourite
166,The Crying Game
167,Burning
168,13th
169,Winter's Bone
170,Gett: The Trial of Viviane Amsalem
171,I Called Him Morgan
172,Close Encounters of the Third Kind
173,The Godfather: Part II
174,The Hustler
175,L.A. Confidential
176,Bloody Sunday
177,My Voyage to Italy
178,Her
179,The Sweet Hereafter
180,Paths of the Soul
181,It's Such a Beautiful Day
182,My Perestroika
183,This Is Not a Film
184,Finding Nemo
185,Topsy-Turvy
186,Samurai Rebellion
187,King Kong
188,The Incredibles
189,Before Sunset
190,Being John Malkovich
191,A Prophet
192,Hard to Be a God
193,Almost Famous
194,Phantom Thread
195,Cold War
196,Big Men
197,American Splendor
198,Hannah and Her Sisters
199,The Circus
200,The Act of Killing
201,The Tale
202,Gosford Park
203,Dirty Harry
204,The Fits
205,United 93
206,Mad Max: Fury Road
207,Downhill Racer
208,Capturing the Friedmans
209,The Truman Show
210,American Hustle
211,Paterson
212,Star Wars: Episode IV - A New Hope
213,Persepolis
214,The Age of Innocence
215,Minding the Gap
216,Lost in Translation
217,The Best of Youth
218,The Overnighters
219,The Lives of Others
220,4 Little Girls
221,Two-Lane Blacktop
222,House of Flying Daggers
223,Searching for Bobby Fischer
224,Assault on Precinct 13
225,Man on Wire
226,Howards End
227,Eighth Grade
228,Force of Evil
229,Still Walking
230,Gangs of Wasseypur
231,The Last Detail
232,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
233,Barry Lyndon
234,Elle
235,The Tale of The Princess Kaguya
236,Uncertain
237,"Two Days, One Night"
238,National Gallery
239,A Star Is Born
240,No End in Sight
241,It's a Wonderful Life
242,Long Day's Journey Into Night
243,The Madness of King George
244,Phoenix
245,One Cut of the Dead
246,Goodbye Solo
247,Western
248,Stop Making Sense
249,Deep Red
250,Alien
251,The Farewell
252,Night of the Living Dead
253,The Artist
254,Raging Bull
255,Eternal Sunshine of the Spotless Mind
256,The Piano
257,Goodfellas
258,Dead Souls
259,Zama
260,Blade Runner
261,High Noon
262,Letters from Iwo Jima
263,Parasite
264,Columbus
265,The Seventh Continent (1989)
266,A Woman Under the Influence
267,Once
268,The Arbor
269,Democrats
270,Selma
271,Ghost World
272,Brazil
273,Crime + Punishment
274,Y Tu Mamá También
275,Paddington 2
276,The Little Mermaid
277,Capote
278,The Death of Stalin
279,Strangers on a Train
280,Tulpan
281,Manuscripts Don't Burn
282,In Transit
283,Whiplash
284,"Three Billboards Outside Ebbing, Missouri"
285,Quest
286,A Film Unfinished
287,Things to Come
288,The Grand Budapest Hotel
289,Winter Sleep
290,A Star Is Born
291,Citizenfour
292,Time Out
293,The Blue Angel (re-release)
294,Thelma & Louise
295,Away from Her
296,The Fallen Idol (re-release)
297,Blue Is the Warmest Color
298,Foxtrot
299,Inside Job
300,Leave No Trace
301,Three Colors: White
302,Chicken Run
303,The King's Speech
304,Hell or High Water
305,Up
306,Once Upon a Time in... Hollywood
307,Shirkers
308,Quiz Show
309,45365
310,Tootsie
311,To Kill a Mockingbird
312,Aquarius
313,Anomalisa
314,Apollo 11
315,Toy Story 2
316,Black Panther
317,Brooklyn
318,Nobody Knows
319,Life Is Sweet
320,Mary Poppins
321,The Lord of the Rings: The Two Towers
322,L'Enfant (The Child)
323,Sweet Country
324,Jane Fonda in Five Acts
325,Newtown
326,Restless Creature: Wendy Whelan
327,Birdman or (The Unexpected Virtue of Ignorance)
328,Little Women
329,Poetry
330,Shakespeare in Love
331,Can You Ever Forgive Me?
332,It Happened One Night
333,The Missing Picture
334,"I Travel Because I Have to, I Come Back Because I Love You"
335,Superman II
336,Of Men and War
337,The Farthest
