,Title,Year
0,Citizen Kane,1941
1,The Godfather,1972
2,Rear Window,1954
3,Casablanca,1943
4,Boyhood,2014
5,Three Colors: Red,1994
6,Vertigo,1958
7,Notorious,1946
8,Singin' in the Rain,1952
9,Moonlight,2016
10,Pinocchio,1940
11,Touch of Evil,1958
12,The Treasure of the Sierra Madre,1948
13,Pan's Labyrinth,2006
14,North by Northwest,1959
15,All About Eve,1950
16,Hoop Dreams,1994
17,My Left Foot,1990
18,The Third Man,1949
19,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
20,Gone with the Wind,1940
21,"4 Months, 3 Weeks and 2 Days",2008
22,Some Like It Hot,1959
23,Psycho,1960
24,American Graffiti,1973
25,Dumbo,1941
26,Roma,2018
27,Ran,1985
28,12 Angry Men,1957
29,Manchester by the Sea,2016
30,Rosemary's Baby,1968
31,The Maltese Falcon,1941
32,12 Years a Slave,2013
33,Nashville,1975
34,Ratatouille,2007
35,A Streetcar Named Desire,1951
36,The Grapes of Wrath,1940
37,Mean Streets,1973
38,Gravity,2013
39,Fantasia,1940
40,Spirited Away,2002
41,The Wild Bunch,1969
42,Beauty and the Beast,1991
43,Carol,2015
44,Toy Story,1995
45,The Social Network,2010
46,My Fair Lady,1964
47,I Am Not Your Negro,2016
48,Double Indemnity,1944
49,Killer of Sheep,2007
50,Snow White and the Seven Dwarfs,1938
51,Anatomy of a Murder,1959
52,Zero Dark Thirty,2012
53,Portrait of a Lady on Fire,2019
54,A Separation,2011
55,WALL-E,2008
56,Before Midnight,2013
57,Dunkirk,2017
58,The Man Who Shot Liberty Valance,1962
59,The Searchers,1956
60,45 Years,2015
61,Taxi Driver,1976
62,The Manchurian Candidate,1962
63,Pulp Fiction,1994
64,Mr. Turner,2014
65,The Hurt Locker,2009
66,The Wild Child,1970
67,Amazing Grace,2018
68,Shadow of a Doubt,1943
69,Inside Out,2015
70,Sideways,2004
71,The Apartment,1960
72,Apocalypse Now,1979
73,The Gunfighter,1950
74,We Were Here,2011
75,Lady Bird,2017
76,The Lord of the Rings: The Return of the King,2003
77,Carlos,2010
78,Faces Places,2017
79,Amour,2012
80,The Servant,1964
81,The Magnificent Ambersons,1942
82,Reversal of Fortune,1990
83,Shoplifters,2018
84,Shoah: Four Sisters,2018
85,"Crouching Tiger, Hidden Dragon",2000
86,Duck Soup,1933
87,Toni Erdmann,2016
88,Yi Yi,2000
89,Spotlight,2015
90,La La Land,2016
91,Stagecoach,1939
92,Call Me by Your Name,2017
93,Inside Llewyn Davis,2013
94,Schindler's List,1993
95,Sherpa,2015
96,There Will Be Blood,2007
97,Badlands,1973
98,The Last Picture Show,1971
99,Sita Sings the Blues,2009
100,The Decline of Western Civilization,1981
101,Days of Heaven,1978
102,Crumb,1995
103,The Band Wagon,1953
104,One More Time with Feeling,2016
105,The Diving Bell and the Butterfly,2007
106,Invasion of the Body Snatchers,1956
107,The Class,2008
108,Platoon,1987
109,35 Shots of Rum,2009
110,Brother's Keeper,1992
111,Chinatown,1974
112,The Florida Project,2017
113,Timbuktu,2015
114,The Souvenir,2019
115,Maborosi,1997
116,Apocalypse Now Redux,2001
117,Annie Hall,1977
118,The Lord of the Rings: The Fellowship of the Ring,2001
119,Intolerance,1916
120,Leviathan,2014
121,The Best Years of Our Lives,1946
122,Werckmeister Harmonies,2001
123,Toy Story 3,2010
124,This Is Spinal Tap,1984
125,The Look of Silence,2015
126,Tower,2016
127,The Rider,2018
128,Moolaadé,2004
129,Atanarjuat: The Fast Runner,2002
130,The Lighthouse,TBA
131,Gavagai,2018
132,The Man Who Would Be King,1975
133,Breaking Away,1979
134,After Life,1999
135,Cool Hand Luke,1967
136,The African Queen,1952
137,The Triplets of Belleville,2003
138,The Queen,2006
139,All Quiet on the Western Front,1930
140,A Bread Factory Part Two: Walk With Me a While,2018
141,The Ladykillers,1956
142,Young Mr. Lincoln,1939
143,Stories We Tell,2013
144,A Bread Factory Part One: For the Sake of Gold,2018
145,On the Waterfront,1954
146,Son of Saul,2015
147,Jafar Panahi's Taxi,2015
148,Beau Travail,2000
149,Do the Right Thing,1989
150,Waltz with Bashir,2008
151,They Shall Not Grow Old,2018
152,EX LIBRIS: The New York Public Library,2017
153,Secrets & Lies,1996
154,Patton,1970
155,The Right Stuff,1983
156,Bambi,1942
157,Frankenstein,1931
158,Bringing Up Baby,1938
159,No Country for Old Men,2007
160,The Gatekeepers,2013
161,Nostalgia for the Light,2011
162,Ida,2014
163,Saving Private Ryan,1998
164,After Hours,1985
165,The Favourite,2018
166,The Crying Game,1992
167,Burning,2018
168,13th,2016
169,Winter's Bone,2010
170,Gett: The Trial of Viviane Amsalem,2015
171,I Called Him Morgan,2017
172,Close Encounters of the Third Kind,1977
173,The Godfather: Part II,1974
174,The Hustler,1961
175,L.A. Confidential,1997
176,Bloody Sunday,2002
177,My Voyage to Italy,2001
178,Her,2013
179,The Sweet Hereafter,1997
180,Paths of the Soul,2016
181,It's Such a Beautiful Day,2012
182,My Perestroika,2011
183,This Is Not a Film,2012
184,Finding Nemo,2003
185,Topsy-Turvy,1999
186,Samurai Rebellion,1967
187,King Kong,1933
188,The Incredibles,2004
189,Before Sunset,2004
190,Being John Malkovich,1999
191,A Prophet,2010
192,Hard to Be a God,2015
193,Almost Famous,2000
194,Phantom Thread,2017
195,Cold War,2018
196,Big Men,2014
197,American Splendor,2003
198,Hannah and Her Sisters,1986
199,The Circus,1929
200,The Act of Killing,2013
201,The Tale,2018
202,Gosford Park,2001
203,Dirty Harry,1971
204,The Fits,2016
205,United 93,2006
206,Mad Max: Fury Road,2015
207,Downhill Racer,1969
208,Capturing the Friedmans,2003
209,The Truman Show,1998
210,American Hustle,2013
211,Paterson,2016
212,Star Wars: Episode IV - A New Hope,1977
213,Persepolis,2007
214,The Age of Innocence,1993
215,Minding the Gap,2018
216,Lost in Translation,2003
217,The Best of Youth,2005
218,The Overnighters,2014
219,The Lives of Others,2006
220,4 Little Girls,1997
221,Two-Lane Blacktop,1971
222,House of Flying Daggers,2004
223,Searching for Bobby Fischer,1993
224,Assault on Precinct 13,1976
225,Man on Wire,2008
226,Howards End,1992
227,Eighth Grade,2018
228,Force of Evil,1949
229,Still Walking,2009
230,Gangs of Wasseypur,2015
231,The Last Detail,1973
232,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
233,Barry Lyndon,1975
234,Elle,2016
235,The Tale of The Princess Kaguya,2014
236,Uncertain,2017
237,"Two Days, One Night",2014
238,National Gallery,2014
239,A Star Is Born,1954
240,No End in Sight,2007
241,It's a Wonderful Life,1947
242,Long Day's Journey Into Night,2019
243,The Madness of King George,1994
244,Phoenix,2015
245,One Cut of the Dead,TBA
246,Goodbye Solo,2009
247,Western,2015
248,Stop Making Sense,1984
249,The Farewell,2019
250,Deep Red,1976
251,Alien,1979
252,Night of the Living Dead,1968
253,The Artist,2011
254,Raging Bull,1980
255,Eternal Sunshine of the Spotless Mind,2004
256,The Piano,1993
257,Goodfellas,1990
258,Dead Souls,2018
259,Zama,2018
260,Blade Runner,1982
261,High Noon,1952
262,Letters from Iwo Jima,2006
263,Parasite,2019
264,Columbus,2017
265,The Seventh Continent (1989),TBA
266,A Woman Under the Influence,1974
