,Title,Release Year
0,A Quiet Place,2018
1,I Can Only Imagine,2018
2,The Commuter,2018
3,You Were Never Really Here,2017
4,Death Wish,2018
5,Downsizing,2017
6,Valerian and the City of a Thousand Planets,2017
7,Unsane,2018
8,Sherlock Gnomes,2018
9,Lady Bird,2017
10,The Passion of the Christ,2004
11,The Strangers: Prey at Night,2018
12,The Disaster Artist,2017
13,Baywatch,2017
14,The Florida Project,2017
15,Jumanji,1995
16,Logan Lucky,2017
17,The Greatest Story Ever Told,1965
18,The Killing of a Sacred Deer,2017
19,Transformers: The Last Knight,2017
20,Mother!,2017
21,Gringo,2018
22,Daddy's Home 2,2017
23,Saban's Power Rangers,2017
24,Braven,2018
25,Suburbicon,2017
26,Jigsaw,2017
27,Iron Man 2,2010
28,The Big Sick,2017
29,Free Fire,2017
30,Lean On Pete,2018
31,Every Day,2018
32,It Comes at Night,2017
33,Wonderstruck,2017
34,Crooked House,2017
35,Jungle,2017
36,Good Time,2017
37,The Lost City Of Z,2017
38,American Beauty,1999
39,Hangman,2017
40,Fargo,1996
41,Shutter Island,2010
42,Manchester by the Sea,2016
43,Breathe,2017
44,Brawl in Cell Block 99,2017
45,Dinner for Schmucks,2010
46,Shot Caller,2017
47,Sweet Country,2018
48,Murder on the Orient Express,1974
49,Reservoir Dogs,1992
50,Padmaavat,2018
51,The Vanishing of Sidney Hall,2017
52,Just Getting Started,2017
53,Kick-Ass,2010
54,Stronger,2017
55,Churchill,2017
56,A Ghost Story,2017
57,Finding Your Feet,2017
58,Wonder Wheel,2017
59,Home Again,2017
60,No Strings Attached,2011
61,Dune,1984
62,Four Weddings and a Funeral,1994
63,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
64,Before I Fall,2017
65,Mud,2013
66,Bone Tomahawk,2015
67,The Man from Earth,2007
68,Heathers,1989
69,Highlander,1986
70,Airplane!,1980
71,Last Flag Flying,2017
72,Ayla,2017
73,The Babysitters,2007
74,Seven Psychopaths,2012
75,The Machinist,2004
76,Zombieland,2009
