title,year,metacritc_rating,netflix,amazon_prime,hulu
Casablanca,1943,100,,,
Notorious,1946,100,,,
My Left Foot,1990,99,,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,99,,,
Gone with the Wind,1940,99,,,
"4 Months, 3 Weeks and 2 Days",2008,99,,,
Fantasia,1940,97,,,
Spirited Away,2002,97,,,
My Fair Lady,1964,97,,,
I Am Not Your Negro,2016,97,,,
Killer of Sheep,2007,97,,,
Snow White and the Seven Dwarfs,1938,96,,,
Portrait of a Lady on Fire,2019,96,,,
The Hurt Locker,2009,96,,,
Amazing Grace,2018,96,,,
The Servant,1964,96,,,
Shoah: Four Sisters,2018,95,,,
Sita Sings the Blues,2009,95,,,
Crumb,1995,95,,,
One More Time with Feeling,2016,95,,,
Platoon,1987,95,,,
Timbuktu,2015,94,,,
The Souvenir,2019,94,,,
Maborosi,1997,94,,,
Werckmeister Harmonies,2001,94,,,
The Look of Silence,2015,94,,,
The Rider,2018,94,,,
Moolaadé,2004,94,,,
Atanarjuat: The Fast Runner,2002,94,,,
Gavagai,2018,94,,,
After Life,1999,94,,,
The African Queen,1952,94,,,
A Bread Factory Part Two: Walk With Me a While,2018,94,,,
The Ladykillers,1956,94,,,
Stories We Tell,2013,94,,,
A Bread Factory Part One: For the Sake of Gold,2018,94,,,
Call Me by Your Name,2017,95,,,t
Lady Bird,2017,96,,t,t
Dunkirk,2017,96,,,t
The Godfather,1972,100,,,t
The Florida Project,2017,94,,t,t
The Lord of the Rings: The Fellowship of the Ring,2001,94,,,t
Inside Out,2015,96,,,t
La La Land,2016,95,,,t
The Lord of the Rings: The Return of the King,2003,96,,,t
Ran,1985,98,,,t
Jafar Panahi's Taxi,2015,94,,,
Beau Travail,2000,94,,,
EX LIBRIS: The New York Public Library,2017,94,,,
The Gatekeepers,2013,93,,,
Nostalgia for the Light,2011,93,,,
Ida,2014,93,,,
13th,2016,93,,,
Gett: The Trial of Viviane Amsalem,2015,93,,,
I Called Him Morgan,2017,93,,,
Close Encounters of the Third Kind,1977,93,,,
My Voyage to Italy,2001,93,,,
Paths of the Soul,2016,93,,,
It's Such a Beautiful Day,2012,93,,,
