title,year,metacritc_rating,netflix,amazon_prime,hulu,imdb_rating
Notorious,1946,100,,,,8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,99,,,,8.4
Fantasia,1940,97,,,,7.8
My Fair Lady,1964,97,,,,7.9
I Am Not Your Negro,2016,97,,,,7.8
Portrait of a Lady on Fire,2019,96,,,,8.5
Amazing Grace,2018,96,,,,7.8
One More Time with Feeling,2016,95,,,,8.3
The Souvenir,2019,94,,,,6.9
Moolaadé,2004,94,,,,7.7
Call Me by Your Name,2017,95,,,t,7.9
Lady Bird,2017,96,,t,t,7.4
Dunkirk,2017,96,,,t,7.9
The Godfather,1972,100,,,t,9.2
The Florida Project,2017,94,,t,t,7.6
The Lord of the Rings: The Fellowship of the Ring,2001,94,,,t,8.8
Inside Out,2015,96,,,t,8.2
La La Land,2016,95,,,t,8
The Lord of the Rings: The Return of the King,2003,96,,,t,8.9
Pan's Labyrinth,2006,100,,,t,8.2
13th,2016,93,,,,8.2
Close Encounters of the Third Kind,1977,93,,,,7.7
It's Such a Beautiful Day,2012,93,,,,8.3
Topsy-Turvy,1999,93,,,,7.4
Cold War,2018,93,,,,7.6
Star Wars: Episode IV - A New Hope,1977,92,,,,8.6
Minding the Gap,2018,92,,,,8.1
Two-Lane Blacktop,1971,92,,,,7.3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,92,,,,7.3
National Gallery,2014,92,,,,7.3
The Farewell,2019,92,,,,7
Goodfellas,1990,91,,,,8.7
Dead Souls,2018,91,,,,8.4
Parasite,2019,91,,,,8.6
Citizenfour,2014,91,,,,8.1
Birdman or (The Unexpected Virtue of Ignorance),2014,90,,,,7.7
"Three Billboards Outside Ebbing, Missouri",2017,91,,,t,8.2
Phantom Thread,2017,93,,,t,7.5
Blade Runner,1982,91,,,t,8.2
The Lion King,1994,91,,,t,8.5
Mad Max: Fury Road,2015,93,,,t,8.1
The Incredibles,2004,93,,,t,8
The Grand Budapest Hotel,2014,91,,,t,8.1
Saving Private Ryan,1998,93,,,t,8.6
Whiplash,2014,91,,,t,8.5
The Godfather: Part II,1974,93,,,t,9
The Lord of the Rings: The Two Towers,2002,91,,,t,8.7
Alien,1979,92,,,t,8.5
The Farthest,2017,90,,,,8.2
Medium Cool,1969,90,,,,7.4
Elena,2012,90,,,,7.7
Elena,2014,86,,,,2.9
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,90,,,,8.2
Harry Potter and the Deathly Hallows: Part 2,2011,90,,,,8.1
Murderball,2005,90,,,,7.7
The Shape of Water,2017,90,,,,7.3
Bisbee '17,2018,90,,,,6.7
To Be or Not to Be,1942,90,,,,8.2
Dreamcatcher,2015,90,,,,7.1
My Neighbor Totoro,1988,90,,,,8.2
King of the Hill,1993,89,,,,7.5
Museo,2018,89,,,,7
Stranger Than Paradise,1984,89,,,,7.6
Raiders of the Lost Ark,1981,89,,,,8.5
Blow Out,1981,89,,,,7.4
Tinker Tailor Soldier Spy,2011,88,,,,7.1
Baby Driver,2017,89,,,t,7.6
Jaws,1975,90,,,t,8
Back to the Future,1985,90,,,t,8.5
The Departed,2006,88,,,t,8.5
The Big Sick,2017,89,,t,t,7.6
American Beauty,1999,89,,t,t,8.4
Knocked Up,2007,89,,,t,7
The Deer Hunter,1978,90,,,t,8.1
Boogie Nights,1997,89,,,t,7.9
The Babadook,2014,90,,,t,6.8
Brokeback Mountain,2005,90,,,t,7.7
The Pianist,2002,89,,,t,8.5
A Fantastic Woman,2017,89,,,t,7.2
Loveless,2017,89,,,t,7.7
The Fabulous Baker Boys,1989,88,,,,6.8
The Intruder,2005,88,,,,6.8
Paragraph 175,2000,88,,,,7.8
Calle 54,2000,88,,,,7.5
Booksmart,2019,88,,,,7.4
Prizzi's Honor,1985,88,,,,6.8
Toy Story 4,2019,88,,,,8.3
Before the Devil Knows You're Dead,2007,87,,,,7.3
Victor Victoria,1982,87,,,,7.6
The Last Black Man in San Francisco,2019,87,,,,7.8
Stray Dogs,2014,87,,,,5.6
Boxing Gym,2010,87,,,,7.1
Everybody Wants Some!!,2016,87,,,,7
Kiki's Delivery Service,1989,87,,,,7.9
The Wind Rises,2013,87,,,,7.8
20 Feet from Stardom,2013,87,,,,7.4
Get Out,2017,87,,,t,7.7
Avatar,2009,87,,,t,7.8
The Silence of the Lambs,1991,88,,,t,8.6
The Iron Giant,1999,88,,,t,8
Fantastic Mr. Fox,2009,87,,,t,7.9
Moonrise Kingdom,2012,88,,,t,7.8
One Flew Over the Cuckoo's Nest,1975,87,,,t,8.7
Fargo,1996,88,,t,t,8.1
Trainspotting,1996,87,,,t,8.2
Atonement,2007,88,,,t,7.8
The King of Kong: A Fistful of Quarters,2007,87,,,,8.1
Spider,2002,87,,,,6.8
Hidden,2005,87,,,,4.2
Porco Rosso,1992,87,,,,7.8
Sweeney Todd: The Demon Barber of Fleet Street,2007,86,,,,7.4
We the Animals,2018,86,,,,6.9
Safe Conduct,2002,86,,,,7
Star Wars: Episode V - The Empire Strikes Back,1980,86,,,,8.7
Nuts!,2016,86,,,,7.2
Marley,2012,86,,,,8
The Filth and the Fury,2000,86,,,,7.7
"Sick: The Life & Death of Bob Flanagan, Supermasochist",1997,86,,,,7.6
At Berkeley,2013,86,,,,7.3
The Revolution Will Not Be Televised,2003,86,,,,8.4
Shaun the Sheep Movie,2015,86,,,,7.4
A Quiet Place,2018,86,,t,t,7.6
The Post,2017,87,,,t,7.2
Blade Runner 2049,2017,86,,,t,8
2001: A Space Odyssey,1968,86,,,t,8.3
Sicario,2015,86,,,t,7.6
Forrest Gump,1994,86,,,t,8.8
War for the Planet of the Apes,2017,86,,,t,7.4
Arrival,2016,86,,,t,7.9
Creed,2015,86,,,t,7.6
Star Trek,2009,86,,,t,8
Pride & Prejudice,2005,86,,,t,7.8
Harry Potter and the Prisoner of Azkaban,2004,86,,,t,7.9
Bridge of Spies,2015,86,,,t,7.6
Kill Bill: Vol. 2,2004,87,,,t,8
Four Weddings and a Funeral,1994,86,,t,t,7.1
Mulholland Dr.,2001,87,,,t,8
Up in the Air,2009,87,,t,t,7.4
Chicago,2002,86,,,t,7.2
Juno,2007,86,,,t,7.5
Steve Jobs,2015,86,,,t,7.2
Black Panther,2018,91,t,,t,7.3
Coco,2017,86,t,,t,8.4
Coco,2017,86,t,,t,7.4
The Dark Knight,2008,87,t,,t,9
Pulp Fiction,1994,96,t,,t,8.9
Schindler's List,1993,95,t,,t,8.9
Room,2015,90,t,,t,8.2
