,Title,Release Year
0,Ready Player One,2018
1,A Quiet Place,2018
2,Avengers: Infinity War,2018
3,Black Panther,2018
4,The Titan,2018
5,Jumanji: Welcome to the Jungle,2017
6,Pacific Rim: Uprising,2018
7,Tomb Raider,2018
8,The Greatest Showman,2017
9,Blockers,2018
10,Star Wars: The Last Jedi,2017
11,Thor: Ragnarok,2017
12,The Shape of Water ,2017
13,"Love, Simon",2018
14,Justice League,2017
15,Red Sparrow,2018
16,Molly's Game,2017
17,Coco,2017
18,"Game Over, Man!",2018
19,I Can Only Imagine,2018
20,Deadpool 2,2018
21,The Ten Commandments,1956
22,"Three Billboards Outside Ebbing, Missouri",2017
23,All The Money In The World,2017
24,A Wrinkle in Time,2018
25,Rampage,2018
26,I Kill Giants,2018
27,The Hurricane Heist,2018
28,Murder on the Orient Express,2017
29,Pitch Perfect 3,2017
30,Spider-Man: Homecoming,2017
31,The Commuter,2018
32,Game Night,2018
33,Solo: A Star Wars Story,2018
34,Peter Rabbit,2018
35,The Post,2017
36,Ferdinand,2017
37,You Were Never Really Here,2017
38,Blade Runner 2049,2017
39,Maze Runner: The Death Cure,2018
40,Jesus Christ Superstar,1973
41,Wonder Woman,2017
42,Death Wish,2018
43,"I, Tonya",2017
44,Call Me by Your Name,2017
45,Death of Stalin,2017
46,Phantom Thread,2017
47,Insidious: The Last Key,2018
48,Downsizing,2017
49,It,2017
50,Valerian and the City of a Thousand Planets,2017
51,Get Out,2017
52,Deadpool,2016
53,Unsane,2018
54,Sherlock Gnomes,2018
55,Guardians of the Galaxy Vol. 2,2017
56,Lady Bird,2017
57,The Miracle Season,2018
58,Guardians of the Galaxy,2014
59,Atomic Blonde,2017
60,Wind River,2017
61,Girls Trip,2017
62,"Paul, Apostle of Christ",2018
63,Darkest Hour,2017
64,Midnight Sun,2018
65,Father Figures,2017
66,Lemony Snicket's A Series of Unfortunate Events,2004
67,Star Wars: The Force Awakens,2015
68,God's Not Dead: A Light in Darkness,2018
69,Captain America: Civil War,2016
70,Pacific Rim,2013
71,The Passion of the Christ,2004
72,Baby Driver,2017
73,Dunkirk,2017
74,The Strangers: Prey at Night,2018
75,Spinning Man,2018
76,The Hitman's Bodyguard,2017
77,The Disaster Artist,2017
78,Beauty and the Beast,2017
79,Paddington 2,2017
80,The Godfather,1972
81,Avengers: Age of Ultron,2015
82,Baywatch,2017
83,Kingsman: The Golden Circle,2017
84,Pirates of the Caribbean: Dead Men Tell No Tales,2017
85,The Shawshank Redemption,1994
86,The Green Mile,1999
87,The Florida Project,2017
88,The Avengers,2012
89,Moana,2016
90,Jumanji,1995
91,Logan,2017
92,Suicide Squad,2016
93,Harry Potter and the Sorcerer's Stone,2001
94,The Shining,1980
95,Doctor Strange,2016
96,The Dark Knight,2008
97,The Incredibles 2,2018
98,Veronica,2017
99,Zootopia,2016
100,Status Update,2018
101,2001: A Space Odyssey,1968
102,The Goonies,1985
103,Interstellar,2014
104,Den of Thieves,2018
105,Jaws,1975
106,Logan Lucky,2017
107,Cars 3,2017
108,Willy Wonka & the Chocolate Factory,1971
109,X-Men: Apocalypse,2016
110,Rogue One: A Star Wars Story,2016
111,The Greatest Story Ever Told,1965
112,Ben-Hur,1959
113,The Killing of a Sacred Deer,2017
114,Alien: Covenant,2017
115,Sing,2016
116,Revolt,2017
117,Transformers: The Last Knight,2017
118,Mother!,2017
119,Seven,1995
120,Inception,2010
121,Bright,2017
122,John Wick,2014
123,Split,2016
124,Sicario,2015
125,The Lord of the Rings: The Fellowship of the Ring,2001
126,Hostiles,2017
127,John Wick: Chapter 2,2017
128,The Ritual,2017
129,Ex Machina,2015
130,King Arthur: Legend of the Sword,2017
131,The Wolf of Wall Street,2013
132,Back to the Future,1985
133,Inglourious Basterds,2009
134,Gringo,2018
135,Prisoners,2013
136,The Outsiders,1983
137,Heat,1995
138,Fantastic Beasts and Where to Find Them,2016
139,Pulp Fiction,1994
140,Iron Man,2008
141,Blade Runner,1982
142,Daddy's Home 2,2017
143,Saban's Power Rangers,2017
144,Gods of Egypt,2016
145,Iron Man 3,2013
146,Schindler's List,1993
147,Captain America: The First Avenger,2011
148,Braven,2018
149,The Lion King,1994
150,Charlie and the Chocolate Factory,2005
151,Avatar,2009
152,Fate of the Furious,2017
153,Hacksaw Ridge,2016
154,Kong: Skull Island,2017
155,Captain America: The Winter Soldier,2014
156,Mad Max: Fury Road,2015
157,Frozen,2013
158,Fifty Shades Freed,2018
159,Star Wars: Episode IV: A New Hope,1977
160,Forrest Gump,1994
161,Batman v Superman: Dawn of Justice,2016
162,Hop,2011
163,Gone Girl,2014
164,Kingsman: The Secret Service,2015
165,The Incredibles,2004
166,The Cloverfield Paradox,2018
167,Inside Out,2015
168,Suburbicon,2017
169,Titanic,1997
170,Despicable Me 3,2017
171,La La Land,2016
172,The Professional,1994
173,The Silence of the Lambs,1991
174,Thor: The Dark World,2013
175,Geostorm,2017
176,The Grand Budapest Hotel,2014
177,Thor,2011
178,Step Up,2006
179,The Foreigner,2017
180,Only the Brave,2017
181,Fight Club,1999
182,Fifty Shades of Grey,2015
183,The Dark Knight Rises,2012
184,Eyes Wide Shut,1999
185,American Made,2017
186,Saving Private Ryan,1998
187,Pride and Prejudice and Zombies,2016
188,The Theory of Everything,2014
189,The Martian,2015
190,Spectre,2015
191,GoodFellas,1990
192,Fifty Shades Darker,2017
193,Harry Potter and the Deathly Hallows: Part II,2011
194,Scarface,1983
195,Star Trek Beyond,2016
196,Star Trek: First Contact,1996
197,Jurassic Park,1993
198,Cinderella,2015
199,The Matrix,1999
200,Small Town Crime,2018
201,War for the Planet of the Apes,2017
202,The Mummy,2017
203,The Lord of the Rings: The Return of the King,2003
204,Borg vs McEnroe,2017
205,Gifted,2017
206,Jigsaw,2017
207,Iron Man 2,2010
208,The Iron Giant,1999
209,Sun Dogs,2017
210,The Girl on the Train,2016
211,The Dark Tower,2017
212,xXx: Return of Xander Cage,2017
213,Thoroughbreds,2018
214,The 5th Wave,2016
215,Django Unchained,2012
216,Roxanne Roxanne,2017
217,Troy,2004
218,Ant-Man,2015
219,Ferris Bueller's Day Off,1986
220,The Departed,2006
221,The Equalizer,2014
222,Watchmen,2009
223,The Hateful Eight,2015
224,Trolls,2016
225,The Maze Runner,2014
226,Whiplash,2014
227,American Pie,1999
228,Room,2015
229,Arrival,2016
230,Fantastic Mr. Fox,2009
231,The Prestige,2006
232,Full Metal Jacket,1987
233,Tomb Raider,2001
234,Bill & Ted's Excellent Adventure,1989
235,Fantastic Voyage,1966
236,The Snowman,2017
237,Pirates of the Caribbean: The Curse of the Black Pearl,2003
238,The Jungle Book,2016
239,Jurassic World,2015
240,Me Before You,2016
241,13 Hours: The Secret Soldiers of Benghazi,2016
242,Indiana Jones and the Raiders of the Lost Ark,1981
243,7 Days in Entebbe,2018
244,The Hunger Games,2012
245,The Beguiled,2017
246,Fury,2014
247,King of Kings,1961
248,Thelma,2017
249,The Big Sick,2017
250,Detroit,2017
251,Scott Pilgrim vs. The World,2010
252,The Revenant,2015
253,Warcraft,2016
254,Pitch Perfect,2012
255,Moonlight,2016
256,The Flintstones,1994
257,Noah,2014
258,The Godfather: Part II,1974
259,Live Die Repeat: Edge of Tomorrow,2014
260,Free Fire,2017
261,The Square,2017
262,The Man from U.N.C.L.E.,2015
263,The Hobbit: An Unexpected Journey,2012
264,American Assassin,2017
265,What Happened to Monday,2017
266,Star Wars: Episode VI: Return of the Jedi,1983
267,Lean On Pete,2018
268,Love,2015
269,Every Day,2018
270,A Bronx Tale,1993
