,Title,Release Year
0,Avengers: Infinity War,2018
1,Black Panther,2018
2,The Titan,2018
3,Star Wars: The Last Jedi,2017
4,Thor: Ragnarok,2017
5,Coco,2017
6,"Game Over, Man!",2018
7,A Wrinkle in Time,2018
8,The Hurricane Heist,2018
9,Solo: A Star Wars Story,2018
10,Peter Rabbit,2018
11,Wind River,2017
12,God's Not Dead: A Light in Darkness,2018
13,The Dark Knight,2008
14,The Incredibles 2,2018
15,Veronica,2017
16,Cars 3,2017
17,Revolt,2017
18,Bright,2017
19,Hostiles,2017
20,The Ritual,2017
21,Ex Machina,2015
22,Pulp Fiction,1994
23,Schindler's List,1993
24,Charlie and the Chocolate Factory,2005
25,The Cloverfield Paradox,2018
26,Despicable Me 3,2017
27,The Theory of Everything,2014
28,Scarface,1983
29,Small Town Crime,2018
30,Sun Dogs,2017
31,Roxanne Roxanne,2017
32,The Hateful Eight,2015
33,Room,2015
34,Indiana Jones and the Raiders of the Lost Ark,1981
35,Scott Pilgrim vs. The World,2010
36,Moonlight,2016
37,What Happened to Monday,2017
38,Love,2015
39,The Witch,2016
40,Day of the Dead: Bloodline,2018
41,The Emoji Movie,2017
42,No Country for Old Men,2007
43,Benji,2018
44,A Clockwork Orange,1971
45,Gerald's Game,2017
46,The Babysitter,2017
47,Ballerina,2016
48,Sherlock Holmes,2009
49,6 Balloons,2018
50,Batman Begins,2005
51,About Time,2013
52,Mudbound,2017
53,Tulip Fever,2017
54,Good Will Hunting,1997
55,Taxi Driver,1976
56,The Fifth Element,1997
57,The Conjuring,2013
58,Her,2013
59,The Space Between Us,2017
60,The Imitation Game,2014
61,She's Out of My League,2010
62,Battlefield Earth,2000
63,Cloud Atlas,2012
64,Insidious,2010
65,The 40-Year-Old Virgin,2005
66,Indiana Jones and the Last Crusade,1989
67,Nymphomaniac: Volume I,2013
68,War Horse,2011
69,47 Meters Down,2017
70,Lincoln,2012
71,The Lobster,2015
72,Hot Fuzz,2007
73,God's Own Country,2017
74,Hell or High Water,2016
75,1922,2017
76,V for Vendetta,2006
77,A.I. Artificial Intelligence,2001
78,Orbiter 9,2017
79,Fullmetal Alchemist,2017
80,Snatch,2000
81,Mamma Mia!,2008
82,The Edge of Seventeen,2016
83,Zodiac,2007
84,The Hangover,2009
85,Stardust,2007
86,Dangal,2016
87,Blue Is the Warmest Color,2013
88,Black Hawk Down,2001
89,The Sixth Sense,1999
90,Hercules,1997
91,Okja,2017
92,Indiana Jones and the Temple of Doom,1984
93,Indiana Jones and the Kingdom of the Crystal Skull,2008
94,The Fast and the Furious,2001
95,The Invitation,2015
96,In Bruges,2008
97,Hellboy,2004
98,Newness,2017
99,The Phantom of the Opera,2004
100,The Star,2017
101,Secret In Their Eyes,2015
102,Legion,2010
103,Bullet Head,2017
104,The Little Hours,2017
105,The Open House,2018
106,Mulan,1998
107,Hairspray,2007
108,Once Upon a Time in America,1984
109,Cloverfield,2008
110,Spring Breakers,2013
111,Dallas Buyers Club,2013
112,Inconceivable,2017
113,Scream,1996
114,Little Women,1994
115,Heathers,1989
116,Chappie,2015
117,The Place Beyond the Pines,2013
118,Enemy,2013
119,The Lodgers,2017
120,Death Note,2017
121,Snowpiercer,2013
122,The Signal,2014
123,Baaghi,2016
124,Limitless,2011
125,The Stanford Prison Experiment,2015
126,The Hurt Locker,2008
127,Zombieland,2009
128,The Lives of Others,2006
129,A Futile and Stupid Gesture,2018
130,The Bad Batch,2017
131,Burnt,2015
132,Lilo and Stitch,2002
133,Blue Valentine,2010
134,Secret Superstar,2017
135,Carrie,1976
136,Woody Woodpecker,2017
137,Below Her Mouth,2017
138,The Ridiculous 6,2015
139,24 Hours to Live,2017
140,The Meyerowitz Stories (New and Selected),2017
141,Monty Python and the Holy Grail,1975
